SR.NO.,PRODUCT,REVIEW,RATING,,,,,
1,Wireless Earphones,,Excellent sound quality and good battery life.,,,,,5
2,Wireless Earphones,,The sound is very clear and I am happy with the product.,,,,,5
3,Wireless Earphones,,Good product and comfortable to use.,,,,,4
4,Wireless Earphones,,Battery life is good but the case feels cheap.,,,,,4
5,Wireless Earphones,,The product is okay but the sound is average.,,,,,3
6,Wireless Earphones,,It works fine but I expected better quality.,,,,,3
7,Wireless Earphones,,The battery drains very quickly.,,,,,2
8,Wireless Earphones,,Sound quality is poor and there is a lot of noise.,,,,,2
9,Wireless Earphones,,Very poor quality and stopped working quickly.,,,,,1
10,Wireless Earphones,,Not worth the money at all.,,,,,1
11,Water Bottle,,The bottle is strong and keeps water cold for a long time.,,,,,5
12,Water Bottle,,Very good quality and perfect for daily use.,,,,,5
13,Water Bottle,,Good bottle and the size is perfect.,,,,,4
14,Water Bottle,,The bottle looks nice and is easy to carry.,,,,,4
15,Water Bottle,,The bottle is average but usable.,,,,,3
16,Water Bottle,,It is okay but the cap could be better.,,,,,3
17,Water Bottle,,The bottle started leaking after a few days.,,,,,2
18,Water Bottle,,The material does not feel strong.,,,,,2
19,Water Bottle,,Very poor quality and not worth buying.,,,,,1
20,Laptop Stand,,The bottle broke after a short time.,,,,,1
21,Laptop Stand,,Very sturdy and perfect for my laptop.,,,,,5
22,Laptop Stand,,Excellent build quality and easy to use.,,,,,5
23,Laptop Stand,,Good product and provides comfortable height.,,,,,4
24,Laptop Stand,,Strong stand but slightly difficult to adjust.,,,,,4
25,Laptop Stand,,It is okay but not very stable.,,,,,3
26,Laptop Stand,,Average product for the price.,,,,,3
27,Laptop Stand,,The stand feels weak and bends easily.,,,,,2
28,Laptop Stand,,It is not stable enough for my laptop.,,,,,2
29,Laptop Stand,,Very bad quality and broke quickly.,,,,,1
30,Laptop Stand,,Completely disappointed with this product.,,,,,1
31,Face Wash,,My skin feels fresh after using it.,,,,,5
32,Face Wash,,Excellent product and has a pleasant smell.,,,,,5
33,Face Wash,,Good face wash and cleans the skin well.,,,,,4
34,Face Wash,,Works well but the packaging could be better.,,,,,4
35,Face Wash,,It is an average face wash.,,,,,3
36,Face Wash,,The product is okay but I did not notice much difference.,,,,,3
37,Face Wash,,It made my skin feel dry.,,,,,2
38,Face Wash,,The smell is not good and the product is disappointing.,,,,,2
39,Face Wash,,Very bad product and did not work for me.,,,,,1
40,Face Wash,,I would not recommend this product.,,,,,1
41,Backpack,,Very spacious and comfortable to carry.,,,,,5
42,Backpack,,Excellent quality with many useful pockets.,,,,,5
43,Backpack,,Good quality and looks stylish.,,,,,4
44,Backpack,,The bag is useful but the straps could be stronger.,,,,,4
45,Backpack,,Average backpack with enough space.,,,,,3
46,Backpack,,The bag is okay but the material feels thin.,,,,,3
47,Backpack,,The zip got stuck after a few days.,,,,,2
48,Backpack,,The straps are uncomfortable and the bag feels weak.,,,,,2
49,Backpack,,Very poor quality and not suitable for daily use.,,,,,1
50,Backpack,,The bag tore quickly and I am disappointed.,,,,,1
51,Smart Watch,,The watch works perfectly and looks great.,,,,,5
52,Smart Watch,,Excellent features and very easy to use.,,,,,5
53,Smart Watch,,Good watch with useful features.,,,,,4
54,Smart Watch,,The display is good but the battery could last longer.,,,,,4
55,Smart Watch,,It works fine but the features are basic.,,,,,3
56,Smart Watch,,The watch is okay for the price.,,,,,3
57,Smart Watch,,The battery drains too quickly.,,,,,2
58,Smart Watch,,The connection keeps getting disconnected.,,,,,2
59,Smart Watch,,The watch stopped working after a few days.,,,,,1
60,Smart Watch,,Very disappointing product and poor quality.,,,,,1
61,Bluetooth Speaker,,The sound is loud and very clear.,,,,,5
62,Bluetooth Speaker,,Excellent speaker with great sound quality.,,,,,5
63,Bluetooth Speaker,,Good sound and easy to connect.,,,,,4
64,Bluetooth Speaker,,The speaker is good but the bass is average.,,,,,4
65,Bluetooth Speaker,,The sound quality is okay.,,,,,3
66,Bluetooth Speaker,,Average speaker for the price.,,,,,3
67,Bluetooth Speaker,,The sound becomes unclear at high volume.,,,,,2
68,Bluetooth Speaker,,The battery does not last long.,,,,,2
69,Bluetooth Speaker,,Very bad sound quality and poor battery.,,,,,1
